 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 04, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Hydrogen (gas).txt

 Ion = Carbon [6] , Mass = 16 amu

 Target Density =  3.0840E-05 g/cm3 = 1.8424E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  16.00 MeV   7.612E-02  6.620E-05  218.25 mm     5.62 mm     1.69 mm  
  17.00 MeV   7.359E-02  6.280E-05  231.60 mm     5.93 mm     1.71 mm  
  18.00 MeV   7.113E-02  5.976E-05  245.41 mm     6.24 mm     1.73 mm  
  20.00 MeV   6.650E-02  5.451E-05  274.48 mm     7.47 mm     1.78 mm  
  22.50 MeV   6.124E-02  4.918E-05  313.64 mm     9.31 mm     1.85 mm  
  25.00 MeV   5.656E-02  4.485E-05  356.11 mm    11.08 mm     1.92 mm  
  27.50 MeV   5.241E-02  4.125E-05  402.01 mm    12.84 mm     2.00 mm  
  30.00 MeV   4.874E-02  3.821E-05  451.46 mm    14.63 mm     2.09 mm  
  32.50 MeV   4.561E-02  3.562E-05  504.47 mm    16.44 mm     2.18 mm  
  35.00 MeV   4.313E-02  3.337E-05  560.81 mm    18.27 mm     2.29 mm  
  37.50 MeV   4.064E-02  3.140E-05  620.51 mm    20.13 mm     2.40 mm  
  40.00 MeV   3.835E-02  2.966E-05  683.81 mm    22.03 mm     2.53 mm  
  45.00 MeV   3.457E-02  2.672E-05  821.12 mm    29.38 mm     2.81 mm  
  50.00 MeV   3.152E-02  2.434E-05  972.56 mm    36.36 mm     3.12 mm  
  55.00 MeV   2.902E-02  2.237E-05    1.14 m     43.24 mm     3.48 mm  
  60.00 MeV   2.695E-02  2.071E-05    1.32 m     50.09 mm     3.88 mm  
  65.00 MeV   2.520E-02  1.928E-05    1.51 m     56.97 mm     4.31 mm  
  70.00 MeV   2.372E-02  1.805E-05    1.71 m     63.89 mm     4.77 mm  
  80.00 MeV   2.132E-02  1.603E-05    2.16 m     89.67 mm     5.80 mm  
  90.00 MeV   1.946E-02  1.443E-05    2.65 m    113.42 mm     6.95 mm  
 100.00 MeV   1.795E-02  1.313E-05    3.18 m    136.35 mm     8.21 mm  
 110.00 MeV   1.669E-02  1.206E-05    3.76 m    158.96 mm     9.57 mm  
 120.00 MeV   1.561E-02  1.115E-05    4.38 m    181.50 mm    11.02 mm  
 130.00 MeV   1.467E-02  1.038E-05    5.04 m    204.16 mm    12.58 mm  
 140.00 MeV   1.382E-02  9.710E-06    5.74 m    227.05 mm    14.22 mm  
 150.00 MeV   1.306E-02  9.126E-06    6.49 m    250.27 mm    15.96 mm  
 160.00 MeV   1.236E-02  8.611E-06    7.27 m    273.91 mm    17.79 mm  
 170.00 MeV   1.173E-02  8.154E-06    8.10 m    298.03 mm    19.73 mm  
 180.00 MeV   1.114E-02  7.745E-06    8.98 m    322.70 mm    21.76 mm  
 200.00 MeV   1.009E-02  7.043E-06   10.86 m    418.81 mm    26.14 mm  
 225.00 MeV   8.966E-03  6.333E-06   13.49 m    560.15 mm    32.23 mm  
 250.00 MeV   8.024E-03  5.757E-06   16.44 m    698.35 mm    39.07 mm  
 275.00 MeV   7.231E-03  5.282E-06   19.72 m    838.65 mm    46.71 mm  
 300.00 MeV   6.566E-03  4.882E-06   23.35 m    983.27 mm    55.20 mm  
 325.00 MeV   6.013E-03  4.540E-06   27.33 m      1.13 m     64.55 mm  
 350.00 MeV   5.560E-03  4.245E-06   31.65 m      1.29 m     74.77 mm  
 375.00 MeV   5.193E-03  3.987E-06   36.30 m      1.45 m     85.82 mm  
 400.00 MeV   4.905E-03  3.760E-06   41.25 m      1.61 m     97.64 mm  
 450.00 MeV   4.531E-03  3.378E-06   51.85 m      2.20 m    123.10 mm  
 500.00 MeV   4.268E-03  3.070E-06   63.22 m      2.72 m    150.38 mm  
 550.00 MeV   3.939E-03  2.814E-06   75.41 m      3.22 m    179.48 mm  
 600.00 MeV   3.662E-03  2.600E-06   88.57 m      3.72 m    210.74 mm  
 650.00 MeV   3.425E-03  2.417E-06  102.69 m      4.22 m    244.12 mm  
 700.00 MeV   3.220E-03  2.259E-06  117.74 m      4.73 m    279.58 mm  
 800.00 MeV   2.883E-03  1.999E-06  150.55 m      6.63 m    356.61 mm  
 900.00 MeV   2.618E-03  1.795E-06  186.95 m      8.39 m    441.55 mm  
   1.00 GeV   2.402E-03  1.630E-06  226.82 m     10.11 m    534.12 mm  
   1.10 GeV   2.225E-03  1.494E-06  270.06 m     11.82 m    634.04 mm  
   1.20 GeV   2.075E-03  1.379E-06  316.59 m     13.53 m    741.06 mm  
   1.30 GeV   1.948E-03  1.282E-06  366.32 m     15.25 m    854.95 mm  
   1.40 GeV   1.838E-03  1.197E-06  419.16 m     16.98 m    975.45 mm  
   1.50 GeV   1.742E-03  1.124E-06  475.05 m     18.73 m      1.10 m   
   1.60 GeV   1.657E-03  1.059E-06  533.90 m     20.50 m      1.24 m   
   1.70 GeV   1.582E-03  1.002E-06  595.64 m     22.28 m      1.37 m   
   1.80 GeV   1.515E-03  9.506E-07  660.22 m     24.08 m      1.52 m   
   2.00 GeV   1.400E-03  8.628E-07  797.51 m     30.94 m      1.83 m   
   2.25 GeV   1.285E-03  7.741E-07  983.87 m     40.65 m      2.24 m   
   2.50 GeV   1.192E-03  7.025E-07    1.19 km    49.69 m      2.68 m   
   2.75 GeV   1.115E-03  6.434E-07    1.40 km    58.40 m      3.15 m   
   3.00 GeV   1.051E-03  5.937E-07    1.63 km    66.92 m      3.65 m   
   3.25 GeV   9.961E-04  5.515E-07    1.88 km    75.32 m      4.18 m   
   3.50 GeV   9.491E-04  5.150E-07    2.14 km    83.64 m      4.72 m   
   3.75 GeV   9.083E-04  4.832E-07    2.40 km    91.90 m      5.29 m   
   4.00 GeV   8.726E-04  4.552E-07    2.69 km   100.11 m      5.87 m   
   4.50 GeV   8.129E-04  4.082E-07    3.28 km   130.67 m      7.10 m   
   5.00 GeV   7.652E-04  3.703E-07    3.91 km   158.48 m      8.38 m   
   5.50 GeV   7.261E-04  3.390E-07    4.58 km   184.71 m      9.73 m   
   6.00 GeV   6.937E-04  3.127E-07    5.29 km   209.87 m     11.11 m   
   6.50 GeV   6.664E-04  2.904E-07    6.02 km   234.22 m     12.54 m   
   7.00 GeV   6.430E-04  2.711E-07    6.79 km   257.93 m     14.01 m   
   8.00 GeV   6.055E-04  2.395E-07    8.39 km   343.39 m     17.02 m   
   9.00 GeV   5.768E-04  2.147E-07   10.08 km   418.57 m     20.11 m   
  10.00 GeV   5.542E-04  1.947E-07   11.85 km   487.63 m     23.26 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.2426E+02                keV / (ug/cm2) 
  3.2426E+02                MeV / (mg/cm2) 
  3.2426E+05                keV / (mg/cm2) 
  5.4276E+02                 eV / (1E15 atoms/cm2)
  2.3570E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
